Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-100023,2023-01-21,CUST-5227,Customer 5227,East,Furniture,Furnishings,2283.4,2,0.12,351.04
ORD-100024,2022-07-11,CUST-9378,Customer 9378,West,Technology,Accessories,211.71,2,0.08,59.53
ORD-100025,2022-10-04,CUST-9217,Customer 9217,North,Office Supplies,Binders,51.87,3,0.12,11.51
ORD-100026,2022-06-10,CUST-6604,Customer 6604,West,Technology,Copiers,8075.53,3,0.04,1343.18
ORD-100027,2023-04-05,CUST-1100,Customer 1100,East,Office Supplies,Binders,50.31,1,0.24,-0.68
ORD-100028,2022-11-10,CUST-4536,Customer 4536,South,Furniture,Furnishings,2126.86,4,0.21,-101.64
ORD-100029,2022-01-22,CUST-1107,Customer 1107,East,Technology,Copiers,1970.96,6,0.01,313.81
ORD-100030,2022-09-10,CUST-3107,Customer 3107,East,Technology,Copiers,4072.97,2,0.14,212.9
ORD-100031,2023-07-15,CUST-4275,Customer 4275,West,Office Supplies,Paper,194.02,4,0.19,14.12
ORD-100032,2023-04-20,CUST-1602,Customer 1602,East,Furniture,Furnishings,2843.93,4,0.07,795.32
ORD-100033,2022-02-28,CUST-9916,Customer 9916,South,Furniture,Tables,2500.1,6,0.11,660.98
ORD-100034,2023-05-26,CUST-3552,Customer 3552,North,Furniture,Bookcases,232.8,1,0.08,58.92
ORD-100035,2023-11-13,CUST-9823,Customer 9823,East,Office Supplies,Storage,229.65,7,0.07,55.39
ORD-100036,2023-04-21,CUST-4955,Customer 4955,North,Technology,Phones,2262.83,5,0.05,563.94
ORD-100037,2023-12-01,CUST-1565,Customer 1565,North,Office Supplies,Binders,395.87,5,0.07,91.82
ORD-100038,2022-07-09,CUST-7413,Customer 7413,South,Furniture,Furnishings,2165.71,4,0.04,435.21
ORD-100039,2023-11-18,CUST-5062,Customer 5062,North,Office Supplies,Paper,94.94,1,0.3,-4.23
ORD-100040,2023-07-17,CUST-7163,Customer 7163,South,Furniture,Bookcases,513.32,2,0.07,95.65
ORD-100041,2023-07-21,CUST-1561,Customer 1561,East,Technology,Machines,4195.84,6,0.12,916.38
ORD-100042,2022-09-01,CUST-4270,Customer 4270,South,Technology,Accessories,9429.53,4,0.0,2048.83
ORD-100043,2023-05-20,CUST-2446,Customer 2446,North,Technology,Machines,16365.38,7,0.13,1252.66
ORD-100044,2022-05-11,CUST-7341,Customer 7341,West,Office Supplies,Storage,524.89,4,0.17,70.63
ORD-100045,2023-04-30,CUST-1372,Customer 1372,West,Technology,Phones,3700.44,4,0.14,907.53
ORD-100046,2023-10-09,CUST-2919,Customer 2919,North,Furniture,Tables,2771.62,2,0.12,356.6
ORD-100047,2022-01-21,CUST-8432,Customer 8432,West,Office Supplies,Art,731.65,7,0.07,201.45
ORD-100048,2022-06-16,CUST-2629,Customer 2629,East,Technology,Machines,9746.93,6,0.04,1792.74
ORD-100049,2022-10-01,CUST-9348,Customer 9348,South,Technology,Phones,6143.19,4,0.17,-207.07
ORD-100050,2023-01-23,CUST-5666,Customer 5666,North,Technology,Copiers,4520.96,7,0.08,905.52
ORD-100051,2023-08-24,CUST-9567,Customer 9567,East,Office Supplies,Storage,95.68,4,0.18,-2.41
ORD-100052,2022-11-12,CUST-9798,Customer 9798,West,Furniture,Furnishings,578.71,1,0.12,100.46
ORD-100053,2022-01-14,CUST-8820,Customer 8820,South,Furniture,Tables,2418.51,3,0.17,67.84
ORD-100054,2022-08-30,CUST-9744,Customer 9744,North,Office Supplies,Storage,1037.62,6,0.1,26.85
ORD-100055,2022-12-12,CUST-4312,Customer 4312,East,Furniture,Chairs,8180.69,7,0.14,931.02
ORD-100056,2023-07-19,CUST-1938,Customer 1938,East,Office Supplies,Binders,37.72,1,0.02,11.06
ORD-100057,2022-12-06,CUST-7437,Customer 7437,East,Office Supplies,Art,798.33,5,0.08,81.29
ORD-100058,2022-04-02,CUST-6347,Customer 6347,South,Technology,Accessories,7555.36,7,0.1,1548.33
ORD-100059,2023-01-02,CUST-8004,Customer 8004,North,Technology,Accessories,11952.71,5,0.0,2602.18
ORD-100060,2023-03-31,CUST-8145,Customer 8145,West,Furniture,Bookcases,1311.16,3,0.26,-75.6
ORD-100061,2023-03-04,CUST-6878,Customer 6878,North,Office Supplies,Storage,148.3,1,0.17,16.27
ORD-100062,2023-05-24,CUST-4932,Customer 4932,South,Office Supplies,Art,606.08,4,0.2,-1.18
ORD-100063,2022-02-04,CUST-8887,Customer 8887,South,Office Supplies,Art,711.03,4,0.07,95.71
ORD-100064,2022-07-25,CUST-8540,Customer 8540,East,Furniture,Bookcases,4249.94,5,0.08,639.88
ORD-100065,2022-03-22,CUST-2614,Customer 2614,South,Office Supplies,Storage,232.01,2,0.21,14.84
ORD-100066,2023-07-16,CUST-6733,Customer 6733,West,Office Supplies,Storage,185.29,1,0.16,11.46
ORD-100067,2023-01-23,CUST-9841,Customer 9841,South,Technology,Copiers,3673.59,4,0.15,496.79
ORD-100068,2022-01-02,CUST-3243,Customer 3243,West,Office Supplies,Art,64.28,5,0.15,14.99
ORD-100069,2023-01-25,CUST-8273,Customer 8273,East,Furniture,Chairs,5933.92,6,0.01,1834.65
ORD-100070,2023-07-20,CUST-3311,Customer 3311,South,Office Supplies,Art,686.26,4,0.0,83.66
ORD-100071,2022-04-16,CUST-2161,Customer 2161,South,Furniture,Tables,6840.33,6,0.17,812.41
ORD-100072,2023-04-22,CUST-9031,Customer 9031,North,Furniture,Bookcases,4367.82,3,0.08,719.04
ORD-100073,2023-12-04,CUST-4909,Customer 4909,South,Office Supplies,Storage,95.15,3,0.21,-4.56
ORD-100074,2023-02-06,CUST-7820,Customer 7820,North,Office Supplies,Art,1053.47,7,0.19,-31.84
ORD-100075,2023-12-31,CUST-8394,Customer 8394,West,Office Supplies,Paper,92.45,1,0.18,13.32
ORD-100076,2023-07-10,CUST-5735,Customer 5735,North,Furniture,Tables,1417.06,7,0.23,1.69
ORD-100077,2022-06-11,CUST-4881,Customer 4881,North,Office Supplies,Art,177.84,1,0.13,22.17
ORD-100078,2022-07-21,CUST-1246,Customer 1246,East,Technology,Copiers,697.04,3,0.0,140.74
ORD-100079,2022-09-27,CUST-4691,Customer 4691,South,Office Supplies,Binders,190.48,1,0.21,-16.04
ORD-100080,2022-09-28,CUST-4338,Customer 4338,South,Office Supplies,Art,1429.65,7,0.13,260.14
ORD-100081,2023-04-01,CUST-3459,Customer 3459,East,Office Supplies,Binders,387.65,5,0.24,-5.06
ORD-100082,2023-04-07,CUST-3921,Customer 3921,West,Office Supplies,Art,632.28,6,0.01,139.04
ORD-100083,2023-12-28,CUST-7000,Customer 7000,North,Office Supplies,Art,160.84,1,0.0,31.53
ORD-100084,2022-09-09,CUST-5654,Customer 5654,East,Office Supplies,Paper,440.0,2,0.08,25.32
ORD-100085,2023-12-03,CUST-1092,Customer 1092,South,Office Supplies,Art,29.21,1,0.21,1.45
ORD-100086,2022-10-23,CUST-4095,Customer 4095,North,Furniture,Chairs,1165.86,4,0.14,282.44
ORD-100087,2023-12-26,CUST-7336,Customer 7336,North,Furniture,Tables,802.26,1,0.22,-96.8
ORD-100088,2023-12-21,CUST-5008,Customer 5008,West,Technology,Copiers,575.03,4,0.1,145.14
ORD-100089,2022-12-04,CUST-4723,Customer 4723,East,Furniture,Tables,665.14,1,0.15,135.01
ORD-100090,2022-02-22,CUST-4695,Customer 4695,East,Office Supplies,Binders,374.85,2,0.03,75.57
ORD-100091,2022-08-05,CUST-7048,Customer 7048,North,Office Supplies,Art,245.18,3,0.07,17.45
ORD-100092,2022-07-07,CUST-3215,Customer 3215,West,Office Supplies,Binders,269.51,3,0.11,38.69
ORD-100093,2023-01-15,CUST-3058,Customer 3058,West,Office Supplies,Paper,92.98,1,0.21,-8.7
ORD-100094,2023-05-08,CUST-5802,Customer 5802,East,Office Supplies,Binders,116.09,4,0.04,17.74
ORD-100095,2022-02-10,CUST-3082,Customer 3082,East,Furniture,Tables,1009.14,2,0.21,102.81
ORD-100096,2022-06-06,CUST-8514,Customer 8514,North,Office Supplies,Storage,569.61,7,0.04,161.0
ORD-100097,2022-01-15,CUST-8896,Customer 8896,South,Furniture,Chairs,4317.98,7,0.07,1122.39
ORD-100098,2022-03-06,CUST-6008,Customer 6008,North,Furniture,Chairs,1204.66,5,0.14,85.96
ORD-100099,2023-06-05,CUST-4510,Customer 4510,North,Technology,Machines,7937.27,4,0.0,958.55
ORD-100100,2022-12-10,CUST-9015,Customer 9015,South,Technology,Machines,2218.19,6,0.12,115.86
ORD-100101,2022-05-09,CUST-8422,Customer 8422,North,Office Supplies,Binders,770.49,7,0.22,-90.36
ORD-100102,2023-10-10,CUST-5536,Customer 5536,East,Furniture,Bookcases,685.64,4,0.2,25.06
ORD-100103,2023-04-17,CUST-9287,Customer 9287,West,Office Supplies,Binders,89.29,1,0.12,15.33
ORD-100104,2022-03-04,CUST-7656,Customer 7656,South,Office Supplies,Paper,480.82,3,0.21,54.9
ORD-100105,2022-05-19,CUST-4925,Customer 4925,South,Technology,Copiers,1008.68,3,0.12,37.7
ORD-100106,2023-05-14,CUST-4377,Customer 4377,South,Technology,Copiers,16742.0,7,0.04,4549.79
ORD-100107,2023-08-16,CUST-9031,Customer 9031,North,Office Supplies,Binders,437.49,6,0.22,-44.17
ORD-100108,2023-01-27,CUST-5599,Customer 5599,South,Furniture,Bookcases,4883.11,4,0.01,1024.36
ORD-100109,2023-11-06,CUST-1615,Customer 1615,West,Furniture,Furnishings,6807.54,5,0.0,2116.48
ORD-100110,2023-02-23,CUST-1944,Customer 1944,North,Furniture,Chairs,4958.01,6,0.08,701.52
ORD-100111,2022-10-16,CUST-4759,Customer 4759,East,Technology,Machines,11400.43,5,0.12,1340.38
ORD-100112,2023-01-14,CUST-3994,Customer 3994,South,Technology,Machines,818.91,7,0.0,185.88
ORD-100113,2023-05-05,CUST-8686,Customer 8686,West,Furniture,Tables,1634.48,2,0.2,-168.66
ORD-100114,2022-08-19,CUST-9888,Customer 9888,East,Office Supplies,Paper,40.43,6,0.09,4.53
ORD-100115,2022-02-10,CUST-4674,Customer 4674,West,Furniture,Bookcases,173.72,2,0.12,32.03
ORD-100116,2022-01-28,CUST-2878,Customer 2878,East,Furniture,Chairs,3644.53,4,0.07,571.59
ORD-100117,2022-05-15,CUST-1015,Customer 1015,North,Technology,Copiers,3714.41,5,0.08,750.98
ORD-100118,2022-07-20,CUST-7412,Customer 7412,West,Technology,Copiers,12287.94,5,0.1,2819.78
ORD-100119,2022-02-02,CUST-7840,Customer 7840,South,Furniture,Chairs,5084.18,6,0.15,1201.61
ORD-100120,2022-02-17,CUST-1815,Customer 1815,South,Office Supplies,Storage,127.1,6,0.12,14.21
ORD-100121,2023-05-18,CUST-7324,Customer 7324,North,Technology,Machines,2757.95,6,0.07,240.3
ORD-100122,2023-02-11,CUST-8433,Customer 8433,South,Technology,Phones,1077.24,1,0.15,-22.57
ORD-100123,2023-07-28,CUST-7147,Customer 7147,South,Technology,Machines,11538.48,6,0.08,2926.15
ORD-100124,2023-12-29,CUST-8274,Customer 8274,West,Technology,Copiers,792.34,1,0.06,123.16
ORD-100125,2022-04-09,CUST-2186,Customer 2186,North,Furniture,Tables,4569.65,7,0.08,629.4
ORD-100126,2023-11-15,CUST-6907,Customer 6907,North,Office Supplies,Binders,666.98,4,0.0,86.78
ORD-100127,2023-12-27,CUST-9596,Customer 9596,East,Furniture,Tables,7134.84,6,0.11,1086.55
ORD-100128,2023-07-01,CUST-8601,Customer 8601,North,Office Supplies,Art,1331.26,7,0.18,189.26
ORD-100129,2023-09-05,CUST-9713,Customer 9713,East,Furniture,Tables,2502.85,6,0.08,126.22
ORD-100130,2023-04-07,CUST-4007,Customer 4007,East,Furniture,Furnishings,4564.64,5,0.19,353.58
ORD-100131,2023-10-05,CUST-9562,Customer 9562,East,Office Supplies,Paper,137.22,7,0.09,31.71
ORD-100132,2022-01-05,CUST-6803,Customer 6803,North,Furniture,Chairs,4453.97,7,0.05,1073.43
ORD-100133,2022-08-06,CUST-9708,Customer 9708,West,Furniture,Tables,1762.32,2,0.21,-111.44
ORD-100134,2023-05-18,CUST-4056,Customer 4056,East,Office Supplies,Binders,243.54,3,0.12,11.34
ORD-100135,2023-02-02,CUST-2546,Customer 2546,North,Furniture,Furnishings,3025.14,6,0.19,-38.31
ORD-100136,2023-01-28,CUST-2033,Customer 2033,North,Technology,Machines,5397.72,6,0.07,1545.94
ORD-100137,2022-07-26,CUST-5122,Customer 5122,South,Office Supplies,Art,604.62,5,0.04,88.06
ORD-100138,2022-01-15,CUST-1236,Customer 1236,North,Technology,Phones,1292.36,6,0.08,121.94
ORD-100139,2023-07-08,CUST-6409,Customer 6409,South,Office Supplies,Storage,17.0,2,0.18,2.76
ORD-100140,2023-04-06,CUST-5103,Customer 5103,East,Furniture,Furnishings,1748.2,7,0.15,-31.66
ORD-100141,2023-11-22,CUST-9824,Customer 9824,West,Office Supplies,Binders,754.7,7,0.18,77.38
ORD-100142,2023-07-29,CUST-4759,Customer 4759,West,Furniture,Chairs,3489.62,3,0.16,541.84
ORD-100143,2022-08-29,CUST-7596,Customer 7596,West,Furniture,Bookcases,1903.05,2,0.1,199.27
ORD-100144,2023-07-18,CUST-1961,Customer 1961,North,Office Supplies,Paper,1377.76,7,0.03,362.65
ORD-100145,2022-04-06,CUST-5589,Customer 5589,South,Office Supplies,Art,178.51,2,0.15,-1.8
ORD-100146,2023-04-30,CUST-2059,Customer 2059,South,Furniture,Tables,776.76,1,0.17,0.14
ORD-100147,2023-02-11,CUST-5549,Customer 5549,East,Office Supplies,Binders,604.76,6,0.05,50.9
ORD-100148,2022-08-19,CUST-8962,Customer 8962,East,Office Supplies,Storage,46.87,5,0.14,6.02
ORD-100149,2023-10-17,CUST-1973,Customer 1973,South,Furniture,Furnishings,212.56,1,0.21,17.72
ORD-100150,2022-06-20,CUST-8501,Customer 8501,South,Office Supplies,Art,647.61,4,0.16,108.38
ORD-100151,2023-06-25,CUST-8543,Customer 8543,West,Office Supplies,Binders,1276.57,6,0.16,108.42
ORD-100152,2022-02-05,CUST-3029,Customer 3029,North,Technology,Accessories,3116.13,2,0.04,868.0
ORD-100153,2023-06-09,CUST-1394,Customer 1394,West,Furniture,Tables,2026.99,2,0.06,546.61
ORD-100154,2022-06-09,CUST-2787,Customer 2787,West,Furniture,Tables,2455.26,4,0.09,189.7
ORD-100155,2023-11-30,CUST-2615,Customer 2615,East,Furniture,Bookcases,1959.86,3,0.18,385.45
ORD-100156,2022-08-31,CUST-6291,Customer 6291,East,Technology,Copiers,2287.5,2,0.11,120.62
ORD-100157,2022-03-27,CUST-6361,Customer 6361,North,Office Supplies,Art,152.66,3,0.13,28.28
ORD-100158,2023-08-01,CUST-3304,Customer 3304,North,Office Supplies,Paper,4.59,1,0.21,0.35
ORD-100159,2023-11-13,CUST-4591,Customer 4591,East,Technology,Machines,4496.41,7,0.12,766.04
ORD-100160,2023-07-11,CUST-7968,Customer 7968,North,Office Supplies,Storage,803.46,7,0.11,191.9
ORD-100161,2023-07-28,CUST-7571,Customer 7571,North,Office Supplies,Paper,108.69,4,0.09,13.48
ORD-100162,2023-10-08,CUST-8111,Customer 8111,East,Furniture,Chairs,2319.58,4,0.13,241.74
ORD-100163,2022-01-28,CUST-5096,Customer 5096,West,Office Supplies,Storage,268.94,4,0.0,34.04
ORD-100164,2023-09-12,CUST-5721,Customer 5721,East,Office Supplies,Binders,511.67,3,0.12,117.92
ORD-100165,2023-07-10,CUST-1721,Customer 1721,South,Technology,Accessories,10882.99,5,0.1,1784.6
ORD-100166,2022-12-06,CUST-2251,Customer 2251,East,Technology,Phones,11432.52,6,0.0,3043.24
ORD-100167,2022-11-27,CUST-8041,Customer 8041,South,Technology,Phones,12037.38,5,0.15,2790.51
ORD-100168,2023-10-02,CUST-2856,Customer 2856,West,Office Supplies,Art,505.85,3,0.16,6.55
ORD-100169,2023-05-21,CUST-8540,Customer 8540,West,Office Supplies,Storage,109.31,1,0.19,-8.16
ORD-100170,2022-12-14,CUST-5747,Customer 5747,East,Technology,Accessories,1679.93,5,0.03,210.33
ORD-100171,2023-04-18,CUST-3976,Customer 3976,East,Office Supplies,Binders,1050.05,6,0.09,212.47
ORD-100172,2022-08-19,CUST-4404,Customer 4404,South,Technology,Accessories,4629.26,2,0.05,893.39
ORD-100173,2022-07-09,CUST-7875,Customer 7875,South,Technology,Accessories,8503.2,6,0.04,1981.01
ORD-100174,2022-08-13,CUST-3372,Customer 3372,North,Technology,Phones,1726.7,2,0.01,515.98
ORD-100175,2023-01-20,CUST-5506,Customer 5506,East,Technology,Machines,11558.66,5,0.09,834.68
ORD-100176,2023-01-12,CUST-3124,Customer 3124,East,Office Supplies,Binders,297.4,3,0.14,0.35
ORD-100177,2022-10-10,CUST-6491,Customer 6491,North,Furniture,Furnishings,7139.54,7,0.11,782.29
ORD-100178,2023-09-25,CUST-3745,Customer 3745,West,Furniture,Chairs,459.07,4,0.17,24.66
ORD-100179,2023-09-20,CUST-4324,Customer 4324,East,Furniture,Furnishings,3925.64,4,0.09,342.09
ORD-100180,2022-09-16,CUST-6280,Customer 6280,North,Furniture,Bookcases,1310.2,4,0.26,-197.12
ORD-100181,2022-12-25,CUST-1589,Customer 1589,West,Furniture,Furnishings,634.9,4,0.1,107.91
ORD-100182,2023-12-11,CUST-8235,Customer 8235,South,Office Supplies,Binders,134.33,1,0.02,39.91
ORD-100183,2023-04-01,CUST-9915,Customer 9915,South,Technology,Copiers,14701.0,5,0.05,1871.41
ORD-100184,2023-02-15,CUST-8066,Customer 8066,South,Office Supplies,Binders,521.58,4,0.14,108.02
ORD-100185,2023-10-11,CUST-3122,Customer 3122,East,Technology,Copiers,18545.19,7,0.06,3639.65
ORD-100186,2022-11-14,CUST-5257,Customer 5257,West,Technology,Copiers,3395.89,3,0.11,154.71
ORD-100187,2023-11-08,CUST-2711,Customer 2711,North,Office Supplies,Storage,137.14,6,0.1,4.69
ORD-100188,2022-08-13,CUST-5124,Customer 5124,West,Technology,Accessories,2856.22,1,0.05,667.65
ORD-100189,2022-08-22,CUST-4055,Customer 4055,East,Office Supplies,Storage,78.25,6,0.03,11.55
ORD-100190,2023-11-15,CUST-8189,Customer 8189,East,Technology,Copiers,2620.35,2,0.07,681.97
ORD-100191,2023-10-26,CUST-6767,Customer 6767,West,Office Supplies,Storage,25.8,2,0.09,5.6
ORD-100192,2023-01-09,CUST-5314,Customer 5314,North,Furniture,Chairs,1420.21,1,0.07,151.47
ORD-100193,2023-11-03,CUST-3853,Customer 3853,West,Furniture,Bookcases,5559.71,6,0.05,926.27
ORD-100194,2023-08-31,CUST-9391,Customer 9391,South,Furniture,Bookcases,5623.14,4,0.1,839.5
ORD-100195,2023-04-17,CUST-8331,Customer 8331,South,Office Supplies,Art,600.8,6,0.25,31.63
ORD-100196,2022-08-21,CUST-4835,Customer 4835,North,Office Supplies,Storage,684.53,7,0.14,-1.5
ORD-100197,2023-11-23,CUST-6622,Customer 6622,West,Technology,Accessories,6694.47,6,0.11,1345.17
ORD-100198,2022-04-23,CUST-5835,Customer 5835,East,Office Supplies,Storage,171.17,1,0.21,-8.16
ORD-100199,2023-05-12,CUST-8248,Customer 8248,South,Technology,Phones,3906.91,7,0.03,487.37
ORD-100200,2023-03-18,CUST-3925,Customer 3925,West,Office Supplies,Storage,56.1,1,0.28,-3.65
ORD-100201,2023-07-18,CUST-5502,Customer 5502,South,Technology,Accessories,5765.01,7,0.12,1049.95
ORD-100202,2022-09-25,CUST-1557,Customer 1557,South,Furniture,Bookcases,4329.82,7,0.06,520.07
ORD-100203,2023-05-25,CUST-6984,Customer 6984,East,Office Supplies,Storage,1270.29,7,0.14,32.19
ORD-100204,2023-01-21,CUST-6349,Customer 6349,East,Office Supplies,Binders,78.3,1,0.28,-13.52
ORD-100205,2023-01-22,CUST-7583,Customer 7583,North,Office Supplies,Paper,1333.37,6,0.1,241.45
ORD-100206,2022-04-23,CUST-6051,Customer 6051,West,Technology,Machines,5532.16,4,0.04,1141.19
ORD-100207,2023-09-05,CUST-1027,Customer 1027,South,Furniture,Furnishings,4631.62,3,0.0,1031.41
ORD-100208,2023-09-17,CUST-1559,Customer 1559,East,Furniture,Chairs,2314.58,4,0.11,606.89
ORD-100209,2022-03-22,CUST-7088,Customer 7088,East,Furniture,Bookcases,509.43,3,0.19,36.18
ORD-100210,2023-11-30,CUST-2829,Customer 2829,East,Office Supplies,Storage,178.37,2,0.11,8.17
ORD-100211,2022-04-23,CUST-7238,Customer 7238,South,Furniture,Chairs,105.15,1,0.28,2.92
ORD-100212,2022-01-02,CUST-6674,Customer 6674,East,Technology,Copiers,2792.22,3,0.01,398.86
ORD-100213,2023-10-04,CUST-9303,Customer 9303,North,Furniture,Bookcases,6590.35,7,0.15,637.58
ORD-100214,2022-08-08,CUST-6422,Customer 6422,North,Office Supplies,Paper,1048.24,6,0.15,220.33
ORD-100215,2023-07-20,CUST-8702,Customer 8702,South,Furniture,Chairs,6920.24,5,0.0,1669.26
ORD-100216,2022-08-13,CUST-9172,Customer 9172,South,Office Supplies,Paper,661.53,5,0.15,138.22
ORD-100217,2023-01-20,CUST-5860,Customer 5860,South,Technology,Copiers,10658.05,7,0.08,1884.66
ORD-100218,2023-02-07,CUST-5754,Customer 5754,South,Technology,Machines,5459.57,2,0.11,1442.01
ORD-100219,2023-09-30,CUST-2301,Customer 2301,North,Furniture,Chairs,1883.88,4,0.11,161.28
ORD-100220,2022-05-10,CUST-8493,Customer 8493,North,Technology,Phones,222.99,1,0.1,17.21
ORD-100221,2022-02-22,CUST-5537,Customer 5537,North,Technology,Accessories,6042.55,3,0.14,891.89
ORD-100222,2023-11-15,CUST-9539,Customer 9539,East,Technology,Copiers,2493.1,1,0.06,373.96
ORD-100223,2023-12-31,CUST-8434,Customer 8434,South,Office Supplies,Binders,1147.95,5,0.13,179.02
ORD-100224,2023-11-03,CUST-1405,Customer 1405,South,Technology,Copiers,3613.91,7,0.12,70.96
ORD-100225,2023-12-11,CUST-9702,Customer 9702,East,Office Supplies,Binders,211.76,1,0.05,46.26
ORD-100226,2023-02-20,CUST-2575,Customer 2575,East,Office Supplies,Art,864.43,5,0.01,107.41
ORD-100227,2022-09-04,CUST-9112,Customer 9112,West,Technology,Accessories,4517.2,2,0.1,630.6
ORD-100228,2023-03-15,CUST-3525,Customer 3525,East,Office Supplies,Binders,25.85,2,0.07,5.21
ORD-100229,2022-07-22,CUST-7457,Customer 7457,East,Furniture,Tables,4335.17,4,0.19,275.82
ORD-100230,2022-07-03,CUST-6465,Customer 6465,North,Office Supplies,Art,192.42,4,0.11,36.52
ORD-100231,2022-05-03,CUST-2125,Customer 2125,East,Technology,Accessories,8611.09,4,0.16,1822.02
ORD-100232,2023-02-05,CUST-4232,Customer 4232,North,Office Supplies,Paper,391.68,4,0.01,53.46
ORD-100233,2022-10-21,CUST-5776,Customer 5776,North,Furniture,Bookcases,4481.27,7,0.21,479.48
ORD-100234,2022-10-07,CUST-5491,Customer 5491,North,Technology,Accessories,18334.41,6,0.06,1201.1
ORD-100235,2023-09-02,CUST-9159,Customer 9159,North,Office Supplies,Paper,236.02,2,0.1,13.99
ORD-100236,2022-07-17,CUST-4890,Customer 4890,East,Office Supplies,Art,192.55,1,0.24,5.47
ORD-100237,2023-05-26,CUST-4793,Customer 4793,South,Office Supplies,Binders,1510.17,7,0.04,145.85
ORD-100238,2022-05-24,CUST-2216,Customer 2216,South,Technology,Machines,8353.51,5,0.15,1507.49
ORD-100239,2023-09-01,CUST-3978,Customer 3978,East,Office Supplies,Paper,1263.62,6,0.0,198.53
ORD-100240,2022-07-20,CUST-7211,Customer 7211,North,Furniture,Chairs,5187.9,6,0.02,1125.64
ORD-100241,2022-05-04,CUST-5899,Customer 5899,South,Office Supplies,Binders,663.05,3,0.06,162.61
ORD-100242,2022-07-06,CUST-6062,Customer 6062,South,Office Supplies,Paper,1832.39,7,0.01,477.81
ORD-100243,2022-11-22,CUST-4052,Customer 4052,East,Office Supplies,Binders,1189.91,5,0.1,280.18
ORD-100244,2023-04-09,CUST-6558,Customer 6558,West,Furniture,Furnishings,949.76,7,0.19,-2.11
ORD-100245,2022-12-15,CUST-9701,Customer 9701,East,Office Supplies,Paper,90.34,6,0.15,12.84
ORD-100246,2023-10-22,CUST-1434,Customer 1434,South,Office Supplies,Paper,758.54,6,0.15,70.93
ORD-100247,2023-02-07,CUST-7194,Customer 7194,North,Furniture,Chairs,2116.33,3,0.15,196.52
ORD-100248,2022-12-12,CUST-8852,Customer 8852,South,Office Supplies,Binders,51.55,1,0.07,5.77
ORD-100249,2023-05-26,CUST-2590,Customer 2590,East,Furniture,Bookcases,6546.53,7,0.12,490.72
ORD-100250,2022-05-27,CUST-5942,Customer 5942,East,Office Supplies,Art,126.01,1,0.14,7.69
ORD-100251,2022-05-28,CUST-7693,Customer 7693,North,Furniture,Tables,1925.47,2,0.25,-162.34
ORD-100252,2023-12-12,CUST-6413,Customer 6413,West,Office Supplies,Paper,573.58,6,0.13,72.88
